id,revenue
3001,6270185.471616589
3002,1160020.557399033
3003,4861330.677696132
3004,6706378.288892986
3005,800175.6973388271
3006,1484634.935981256
3007,1432340.2415979463
3008,37607210.68636894
3009,23153337.235926382
3010,417613696.1911862
3011,451627.61434066575
3012,199520.81293296668
3013,20551226.107727055
3014,330045.9890779854
3015,26732039.79332204
3016,137871.673945382
3017,122089170.73051022
3018,121259217.06871875
3019,15665779.12774049
3020,423666706.80376184
3021,41724078.198541746
3022,46070970.94424628
3023,108854.57015979222
3024,10644357.64946393
3025,154067.74131995058
3026,86250870.52807726
3027,2602676.391765097
3028,67982502.44278309
3029,541224.5011783093
3030,20409432.219129957
3031,5883608.593417295
3032,5390512.526549564
3033,907.4811772265043
3034,216395.14616032218
3035,302507.3115683635
3036,7877709.463989103
3037,64847955.045155995
3038,15069220.360803451
3039,4485965.090991593
3040,1560371.6379724464
3041,12588919.332708424
3042,2066283.456750632
3043,5184402.460679651
3044,2327021.367749967
3045,613000811.4352548
3046,977970.7412494353
3047,1528387.627594839
3048,19809382.85231749
3049,28384925.894356973
3050,46470729.82902558
3051,122.5522845970042
3052,11809297.117851874
3053,115977.44852257673
3054,96409.93731834702
3055,66696706.57015322
3056,147803.88034494745
3057,27337913.749748416
3058,271249681.27914685
3059,428013.9849377534
3060,101428398.42655654
3061,50883475.11025864
3062,7386216.282891873
3063,12736907.310979966
3064,39179241.52106597
3065,28718840.501990505
3066,57747638.73863099
3067,493533.17044482
3068,82820512.10232744
3069,186334390.92875555
3070,1119206.4059531216
3071,3444450.6287145787
3072,392592159.8928588
3073,1585819.033124399
3074,289268.24687951093
3075,40088598.07559046
3076,216558086.3904172
3077,7733387.152638882
3078,91915642.90733865
3079,25989856.821774293
3080,134130427.44266647
3081,12673540.934144517
3082,4287986.77108309
3083,5985285.673208855
3084,480.1184191716559
3085,16838739.440343473
3086,53154277.240943685
3087,176011.11548267506
3088,179026.68899312065
3089,24144.664896704486
3090,38069903.44305282
3091,19779359.330482934
3092,2363812.456336208
3093,188648349.2123563
3094,129896917.0093582
3095,42771187.69020825
3096,3089141.992987269
3097,813974139.5540282
3098,20659279.83322584
3099,47165773.672415525
3100,3575435.214472113
3101,10542448.806368746
3102,188136.689606011
3103,654154.287671739
3104,3005339.7664656322
3105,61497363.2064812
3106,49447699.64429271
3107,38066425.73594688
3108,5163569.687744328
3109,8518614.401912086
3110,278866616.3699244
3111,4795471.433690134
3112,278198.3762171096
3113,3020431.6619590344
3114,18241043.898430873
3115,17568597.09557312
3116,4737914.594346274
3117,269833.06174625695
3118,836701.7937596414
3119,256866811.9081552
3120,21589755.31862727
3121,191126.80516507843
3122,3230636.119741344
3123,10633003.107765185
3124,423857.5354098433
3125,109.22423028418204
3126,51486606.68215612
3127,12955311.2133339
3128,19347821.11505828
3129,250314121.34844518
3130,12525504.304971972
3131,1440875.8567599198
3132,6208598.034261581
3133,300873.2861993243
3134,11904874.256337805
3135,2997249.167008802
3136,3296975.9239134863
3137,64420083.716917925
3138,1391746.051014962
3139,21818159.868186347
3140,112232946.19790979
3141,6538764.042808195
3142,453.531088110905
3143,125038251.15383616
3144,6738697.047719395
3145,6158609.112987321
3146,1173135.3740196696
3147,15554744.236179098
3148,938963.5036836663
3149,36629095.25425835
3150,83827353.46376762
3151,5295364.468553866
3152,15432856.170075046
3153,608148.2490604485
3154,4757122.675684975
3155,19931174.7361394
3156,4196317.356249399
3157,20480133.179009292
3158,171912577.23635128
3159,6344894.190232675
3160,15453757.242588727
3161,402678.6451451897
3162,1980689.7733574759
3163,126252433.89275186
3164,2246945.7070466788
3165,53678.695925370965
3166,302157.104816184
3167,70464537.97473124
3168,182997.33487910815
3169,20776475.06586963
3170,11946751.355301125
3171,10835310.157591054
3172,24941822.675614882
3173,831737.6237523034
3174,552840.6150817174
3175,8922552.170371663
3176,39088067.61737109
3177,118510497.86897549
3178,3045828.8532594233
3179,4905437.41109177
3180,743805.2834784229
3181,411220.1639535377
3182,160366232.6373033
3183,26619453.94813586
3184,43291685.68377668
3185,62671180.56479177
3186,71839116.88629979
3187,1722870.1580382353
3188,9432044.7270486
3189,68433313.67963555
3190,21633183.393942907
3191,5571120.22031483
3192,1286591.4770949834
3193,234795452.13591754
3194,49736378.90209265
3195,227758.96677548808
3196,3575603.4159947047
3197,896683.2321129069
3198,127787852.4709124
3199,303918982.1895711
3200,9524013.409774361
3201,8845.924965277358
3202,4358963.992259291
3203,1313827.6567677641
3204,2704419.527663143
3205,502175.58286174916
3206,12675670.796061454
3207,39741872.908513896
3208,1420126.2561049992
3209,4356787.996053594
3210,722968135.5996342
3211,519141.9998044348
3212,40739890.18048618
3213,32316102.802273974
3214,3314689.6780647975
3215,3006799.882023964
3216,5073922.555175671
3217,567600922.1804416
3218,3563466.944254123
3219,87270.84178401469
3220,109873586.30972587
3221,7233920.431739968
3222,212.8454802236378
3223,21826549.690945927
3224,371.1394758617763
3225,4159332.0161259333
3226,3529266.3649330037
3227,73941675.02627109
3228,148926641.4100691
3229,97710037.50085413
3230,34654983.28221595
3231,35120470.03356584
3232,16292888.6321488
3233,4816088.901217802
3234,2265811.035225644
3235,914918.4412266883
3236,122836.70746223241
3237,11244190.7595027
3238,1686695.602889054
3239,81665.88870872013
3240,328863097.46260744
3241,1990324.7792208053
3242,3954074.310014438
3243,2565898.9069411573
3244,207475.93150933704
3245,345371.1490054783
3246,14432725.783285152
3247,14882172.413179914
3248,49413271.10558216
3249,37705140.389745064
3250,351988620.7404192
3251,769929.101909638
3252,14963836.046991434
3253,65494244.17619715
3254,736597.9778277891
3255,178354.05214423343
3256,17435618.303679876
3257,5639012.387983471
3258,8621182.290762084
3259,26310916.973005515
3260,1419338.4791008935
3261,439733389.1884425
3262,11346715.872506477
3263,242032.42810838317
3264,134769.94297141567
3265,30564.418957819224
3266,198991.6445820927
3267,13088284.58627857
3268,62881.94540826472
3269,38967661.92497673
3270,46187662.322495855
3271,1144865.1266606355
3272,9533223.30566648
3273,7764965.332996831
3274,482245632.38041955
3275,10953252.129492527
3276,240532.2901621081
3277,15709239.20502226
3278,46362826.39521394
3279,9657435.977284916
3280,283225034.6428336
3281,161065.8696347574
3282,2905059.8043718394
3283,368700450.8930914
3284,30028655.683676533
3285,53088090.42493976
3286,525958.8734320018
3287,3346785.6405146653
3288,6574149.235317853
3289,36242410.55868329
3290,58414398.22784422
3291,24946286.26473488
3292,282260207.4309849
3293,36564282.177200764
3294,2609830.895911802
3295,5635943.178845574
3296,917314.4310291107
3297,877663.6736124472
3298,31847116.72796808
3299,3519169.477210699
3300,29078102.159256574
3301,161198.16569684367
3302,1878355.1722750373
3303,696168.8258812481
3304,7380172.745173916
3305,69728909.30128667
3306,469477.9956977652
3307,26465739.732490644
3308,17646751.32367246
3309,341768.27149244986
3310,2097075.074007637
3311,5688436.37465878
3312,2060494.8122260845
3313,33763408.15573517
3314,24625711.940315492
3315,62046018.473274514
3316,13038215.168621967
3317,374603.4727172282
3318,95125.01801481616
3319,7469589.32630421
3320,11389627.707879797
3321,5123631.434385075
3322,3197567.2830091664
3323,133165032.93690427
3324,2872008.5037758695
3325,78616814.9781241
3326,277503504.980712
3327,80609444.05054833
3328,27547292.777171306
3329,4449817.927356109
3330,106045370.762961
3331,1268809.1949426844
3332,56967360.728770114
3333,277412628.3848946
3334,1394841.8962260545
3335,20081541.14534359
3336,5307475.428210717
3337,50543.83181729726
3338,15264289.281685505
3339,516013.0715976457
3340,100586807.16603392
3341,4166172.254189277
3342,61254149.71984941
3343,67982270.17656383
3344,1022004.4931312128
3345,993667.2548606577
3346,29529098.13812607
3347,259919.1745002031
3348,26062365.579095367
3349,62281506.29353837
3350,310530369.87430316
3351,15167698.745354554
3352,741406.4571327321
3353,51677954.25187088
3354,2779281.257331
3355,4631184.377024272
3356,9656542.860971104
3357,430879.39634850225
3358,11118918.231262378
3359,21744741.34803885
